City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Port-Cartier,CA,50.0334,-66.8654,48.74,75,100,3.13,overcast clouds
276,Tura,IN,25.5198,90.2201,74.97,88,13,4.21,few clouds
277,Plouzane,FR,48.3833,-4.6167,53.92,84,0,3.44,clear sky
278,Cibitoke,BI,-2.8833,29.25,58.06,90,88,4.32,overcast clouds
279,Sarai,RU,53.7458,41.0213,40.98,93,61,8.32,broken clouds
280,Kahului,US,20.8947,-156.47,86.02,67,40,10.36,scattered clouds
281,Bellefontaine,US,40.3612,-83.7597,70.63,74,100,11.45,overcast clouds
282,Lorengau,PG,-2.0226,147.2712,83.82,74,41,4.83,scattered clouds
283,Puerto Ayora,EC,-0.7393,-90.3518,73.54,97,45,6.46,scattered clouds
284,Hede,CN,33.7681,120.2517,77.27,43,100,3.98,overcast clouds
285,Guerrero Negro,MX,27.9769,-114.0611,62.01,77,0,15.12,clear sky
286,Hirara,JP,24.8,125.2833,76.86,94,75,10.36,broken clouds
287,Aasiaat,GL,68.7098,-52.8699,21.15,89,41,6.24,scattered clouds
288,Muli,MV,2.9167,73.5667,83.05,77,31,14.45,scattered clouds
289,Champerico,GT,14.3,-91.9167,83.98,71,82,9.24,broken clouds
290,Sao Filipe,CV,14.8961,-24.4956,74.14,73,100,4.07,overcast clouds
291,Saint-Augustin,CA,51.226,-58.6502,40.37,77,8,6.71,clear sky
292,Bunbury,AU,-33.3333,115.6333,63.82,71,54,5.37,broken clouds
293,Saint George,US,37.1041,-113.5841,92.95,10,0,29.93,clear sky
294,Tilichiki,RU,60.4667,166.1,39.25,77,100,1.48,overcast clouds
295,Cozumel,MX,20.5083,-86.9458,81.0,83,18,5.99,few clouds
296,Homer,US,59.6425,-151.5483,60.69,39,0,9.22,clear sky
297,Saskylakh,RU,71.9167,114.0833,32.7,99,100,3.42,overcast clouds
298,Pisco,PE,-13.7,-76.2167,65.01,82,62,12.66,mist
299,Mayskiy,RU,47.6931,40.1025,47.61,92,100,7.63,overcast clouds
300,Flinders,AU,-34.5833,150.8552,63.37,70,99,5.01,overcast clouds
301,Kati,ML,12.7441,-8.0726,89.01,32,82,4.5,broken clouds
302,Nzerekore,GN,7.7562,-8.8179,70.83,98,100,2.64,overcast clouds
303,Nara,JP,34.6851,135.8049,74.5,33,100,2.1,overcast clouds
304,Cervo,ES,43.6702,-7.4101,56.97,84,100,2.44,overcast clouds
305,Rawson,AR,-43.3002,-65.1023,52.52,46,70,1.92,broken clouds
306,Savannah Bight,HN,16.45,-85.85,82.74,81,46,25.59,scattered clouds
307,Kiama,AU,-34.6833,150.8667,63.57,71,100,7.0,overcast clouds
308,Vestmanna,FO,62.1564,-7.1664,47.89,94,100,18.3,light rain
309,Pokosnoye,RU,55.5258,101.0536,71.67,43,84,4.92,broken clouds
310,Ust-Kut,RU,56.7938,105.7672,69.42,32,54,0.85,broken clouds
311,Jiazi,CN,22.8779,116.067,77.77,72,77,2.19,broken clouds
312,Port-Gentil,GA,-0.7193,8.7815,78.28,87,100,11.36,moderate rain
313,Atar,MR,20.5169,-13.0499,83.5,18,100,4.59,overcast clouds
314,Baft,IR,29.234,56.6057,65.41,14,0,4.32,clear sky
315,Xianyang,CN,34.3378,108.7026,80.1,35,36,4.76,scattered clouds
316,Rio Claro,BR,-22.4114,-47.5614,48.07,83,7,1.07,clear sky
317,Lixourion,GR,38.2019,20.4314,62.74,73,0,4.9,clear sky
318,Gravdal,NO,68.1214,13.5031,43.81,80,61,7.11,broken clouds
319,Torbay,CA,47.6666,-52.7314,43.57,83,15,8.01,few clouds
320,Cherkasskoye,RU,52.4333,47.2167,44.71,87,100,3.47,overcast clouds
321,Ilulissat,GL,69.2167,-51.1,28.42,93,0,0.0,clear sky
322,Rocha,UY,-34.4833,-54.3333,44.65,91,0,4.14,clear sky
323,Oga,IT,46.4631,10.347,52.81,90,75,1.45,broken clouds
324,Itarema,BR,-2.9248,-39.9167,76.64,89,80,4.14,broken clouds
325,Pandan Niog,PH,6.2282,120.5631,82.92,76,79,2.48,broken clouds
326,Kemin,KG,42.7846,75.6892,64.47,61,100,4.68,overcast clouds
327,Cockburn Town,TC,21.4612,-71.1419,80.44,85,97,18.16,overcast clouds
328,Saint-Leu,RE,-21.15,55.2833,68.86,69,23,3.51,few clouds
329,Dzhebariki-Khaya,RU,62.2167,135.8,50.41,59,99,6.04,overcast clouds
330,Tungor,RU,53.3808,142.9564,43.43,64,85,4.47,overcast clouds
331,Pahrump,US,36.2083,-115.9839,95.05,10,79,8.99,broken clouds
332,Urubicha,BO,-15.3833,-62.95,55.11,43,100,1.45,overcast clouds
333,Doha,QA,25.2867,51.5333,91.38,22,0,13.8,clear sky
334,Luanda,AO,-8.8368,13.2343,71.31,92,10,6.35,clear sky
